Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Sanjay Sethi Angel,Angel / Individual,"Pre-Seed, Seed",,"Consumer / D2C, Logistics",,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Mukesh Bansal Angel,Angel / Individual,"Pre-Seed, Seed",,"Consumer / D2C, Health",,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Sujeet Kumar Angel,Angel / Individual,"Pre-Seed, Seed",,Logistics,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Ashish Kashyap Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Girish Mathrubootham Angel,Angel / Individual,"Pre-Seed, Seed",,SaaS / Enterprise,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Sridhar Vembu Angel,Angel / Individual,"Pre-Seed, Seed",,SaaS / Enterprise,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Sharad Sharma Angel / iSPIRT,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Bala Parthasarathy Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Rehan Yahya Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Neeraj Arora Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Shailesh Rao Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Vani Kola Angel (personal vs Kalaari),Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Karthik Reddy Angel (personal vs Blume),Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Sanjay Nath Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Alok Mittal Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Dhruv Khaitan Angel,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Vaibhav Domkundwar Angel / Better Capital personal,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
India SME Tech Fund / similar,VC,"Seed, Series A",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Quinnox Ventures / QVentures India,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Mphasis Ventures,Corporate / CVC,"Seed, Series A",,"SaaS / Enterprise, AI / ML",,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
L&T Technology Ventures / LTTB,Corporate / CVC,"Seed, Series A",,Deep Tech,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
HCL Software Ventures,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Druva Ventures desk,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Icertis investments,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,,,medium,,,,Unverified – inferred,HQ India,manual,B,staging_medium
Helion Venture Partners,VC,"Seed, Series A, Series B",,Sector Agnostic,,,,Legacy — include as historic India VC with note,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Lightbox Ventures,VC,"Series A, Series B",,Consumer / D2C,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Zodius Capital,VC,"Series A, Series B",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Stanford Angels & Entrepreneurs India,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,Active India cheque,manual research,B,staging_medium
IIT Bombay Alumni Association Angels,Syndicate / Network,"Pre-Seed, Seed",,Deep Tech,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
KITVEN,VC,"Seed, Series A",,Sector Agnostic,,,,Karnataka — medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Amansa Holdings,Family Office,Growth,,Sector Agnostic,,,,Public markets tilt — medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Hornbill Capital Advisers,VC,"Series A, Series B",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Know3 Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Malabar Investments,Family Office,Growth,,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
Maharashtra State Innovation Society,Accelerator,Pre-Seed,,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
AP Innovation Society,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,medium,,,,Unverified – inferred,HQ India,manual research,B,staging_medium
