name,slug,typeId,website,stages,source
CDM Capital,cdm-capital,vc,https://cdmcapital.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Chakra Fund,chakra-fund,vc,https://chakra.fund,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Circulate Capital,circulate-capital,vc,https://circulatecapital.com,"Seed,Series A",https://circulatecapital.com
Coatue Management,coatue-management,vc,https://www.coatue.com,"Series A,Series B,Series C+",https://www.coatue.com
Coinbase Ventures,coinbase-ventures,vc,https://www.coinbase.com/ventures,"Seed,Series A",https://www.coinbase.com/ventures
Congruent Ventures,congruent-ventures,vc,https://congruentvc.com,"Seed,Series A",https://congruentvc.com
ConsumerX Ventures,consumerx-ventures,vc,https://consumerx.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Dezerv,dezerv,vc,https://dezerv.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Disruption Fund,disruption-fund,vc,https://disruption.fund,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Dragoneer Investment Group,dragoneer-investment-group,vc,https://www.dragoneer.com,Series C+,https://www.dragoneer.com
DST Global,dst-global,vc,https://dstglobal.com,"Series B,Series C+",https://dstglobal.com
Ekamya,ekamya,vc,https://ekamya.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Energy Impact Partners,energy-impact-partners,vc,https://www.energyimpactpartners.com,"Series A,Series B",https://www.energyimpactpartners.com
Equanimity Ventures,equanimity-ventures,vc,https://equanimity.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Equirus Ventures,equirus-ventures,vc,https://equirus.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
FBC Fund,fbc-fund,vc,https://fbcfund.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
First and Fast Capital,first-and-fast-capital,vc,https://firstandfast.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
First Assetz,first-assetz,vc,https://firstassetz.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
FirstPort Capital,firstport-capital,vc,https://firstport.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Flourish Ventures,flourish-ventures,vc,https://flourishventures.com,"Seed,Series A",https://flourishventures.com
FMO Entrepreneurial Development Bank,fmo-entrepreneurial-development-bank,vc,https://www.fmo.nl,"Series A,Series B,Series C+",https://www.fmo.nl
Founders Fund,founders-fund,vc,https://foundersfund.com,"Seed,Series A,Series B",https://foundersfund.com
Fundalogical Ventures,fundalogical-ventures,vc,https://fundalogical.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Fundamental Ventures,fundamental-ventures,vc,https://fundamentalvc.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
GetFive,getfive,vc,https://getfive.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Gnan Circle,gnan-circle,vc,https://gnancircle.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Golden Gate Ventures,golden-gate-ventures,vc,https://goldengate.vc,"Seed,Series A",https://goldengate.vc
Green Marble VC,green-marble-vc,vc,https://greenmarble.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Greyhound Capital,greyhound-capital,vc,https://greyhoundcap.com,"Series A,Series B,Series C+",https://greyhoundcap.com
GrowthAlly Capital,growthally-capital,vc,https://growthally.org,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
HDFC Capital,hdfc-capital,vc,https://www.hdfccapital.com,"Series A,Series B",https://www.hdfccapital.com
IAN Fund,ian-fund,vc,https://www.ianfund.com,Pre-Seed,https://www.ianfund.com
IFCI Venture Capital Funds,ifci-venture-capital-funds,vc,https://www.ifciventure.com,"Seed,Series A,Series B",https://www.ifciventure.com
IKP Venture,ikp-venture,vc,https://ikpimc.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Incube8 Ventures,incube8-ventures,vc,https://incube8.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Induckt VC,induckt-vc,vc,https://inducktvc.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Indusbridge Ventures,indusbridge-ventures,vc,https://indusbridgeventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Infuse Ventures,infuse-ventures,vc,https://infuseventures.com,"Seed,Series A",https://infuseventures.com
Insight Partners,insight-partners,vc,https://www.insightpartners.com,"Series A,Series B,Series C+",https://www.insightpartners.com
Insignia Ventures Partners,insignia-ventures-partners,vc,https://insignia.vc,"Seed,Series A,Series B",https://insignia.vc
IXP Lifesciences,ixp-lifesciences,vc,https://ixplifesciences.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
J4S Alliance,j4s-alliance,vc,https://j4salliance.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
JAFCO Asia,jafco-asia,vc,https://www.jafco.asia,"Seed,Series A,Series B",https://www.jafco.asia
Jamwant Ventures,jamwant-ventures,vc,https://jamwantventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Jungle Ventures,jungle-ventures,vc,https://www.jungle.vc,"Seed,Series A,Series B",https://www.jungle.vc
Kathyawad Ventures,kathyawad-ventures,vc,https://kathyawadventures.in,"Seed,Series C+",
Lavni Ventures,lavni-ventures,vc,https://lavni.co.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
LocalGlobe,localglobe,vc,https://www.localglobe.vc,"Seed,Series A",https://www.localglobe.vc
LongView Ventures,longview-ventures,vc,https://longview-ventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Lowercarbon Capital,lowercarbon-capital,vc,https://lowercarboncapital.com,"Seed,Series A",https://lowercarboncapital.com
Makia Capital,makia-capital,vc,https://makiacapital.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Mechanism Capital,mechanism-capital,vc,https://www.mechanism.capital,"Seed,Series A",https://www.mechanism.capital
Mela Ventures,mela-ventures,vc,https://melaventures.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Merisis Ventures,merisis-ventures,vc,https://merisis.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Michael & Susan Dell Foundation,michael-and-susan-dell-foundation,vc,https://www.dell.org,"Seed,Series A",https://www.dell.org
Mitsubishi UFJ Capital,mitsubishi-ufj-capital,vc,https://www.mucap.co.jp,"Seed,Series A",https://www.mucap.co.jp
Morphosis Ventures,morphosis-ventures,vc,https://morphosisvc.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Multicoin Capital,multicoin-capital,vc,https://multicoin.capital,"Seed,Series A",https://multicoin.capital
NABKISAN Finance / NABARD ecosystem,nabkisan-finance-nabard-ecosystem,vc,https://www.nabard.org,"Seed,Series A",https://www.nabard.org
NABVENTURES,nabventures,vc,https://nabventures.in,"Seed,Series A",https://nabventures.in
Native Smart Capital,native-smart-capital,vc,https://nativesmart.capital,Pre-Seed,https://nativesmart.capital
Navam Capital,navam-capital,vc,https://navamcapital.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Naya Ventures,naya-ventures,vc,https://nayaventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
New Enterprise Associates,new-enterprise-associates,vc,https://www.nea.com,"Series A,Series B,Series C+",https://www.nea.com
New Leaf,new-leaf,vc,https://newleafia.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
NIIF,niif,vc,https://www.niifindia.in,"Series B,Series C+",https://www.niifindia.in
NilaCap,nilacap,vc,https://nilacap.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Norfund,norfund,vc,https://www.norfund.no,"Series A,Series B",https://www.norfund.no
OnePoint44,onepoint44,vc,https://onepoint44.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Openspace Ventures,openspace-ventures,vc,https://www.openspace.vc,"Seed,Series A,Series B",https://www.openspace.vc
Pangram Ventures,pangram-ventures,vc,https://pangram.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
PanIIT Alumni,paniit-alumni,vc,https://paniit.org,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Pantera Capital,pantera-capital,vc,https://panteracapital.com,"Seed,Series A,Series B",https://panteracapital.com
Paradigm,paradigm,vc,https://www.paradigm.xyz,"Seed,Series A,Series B",https://www.paradigm.xyz
Patamar Capital,patamar-capital,vc,https://patamar.com,"Seed,Series A",https://patamar.com
Pavilion Capital,pavilion-capital,vc,https://www.pavilioncapital.com,"Series A,Series B,Series C+",https://www.pavilioncapital.com
Phi Capital,phi-capital,vc,https://phicapital.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Pivot Ventures,pivot-ventures,vc,https://pivotventures.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Point Nine Capital,point-nine-capital,vc,https://pointnine.com,"Seed,Series A",https://pointnine.com
Polygon Ventures,polygon-ventures,vc,https://polygon.technology,"Seed,Series A",https://polygon.technology
Prana Ventures,prana-ventures,vc,https://pranaventures.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Precog Innovation Partners,precog-innovation-partners,vc,https://precoginnovations.com,Seed,
Proparco,proparco,vc,https://www.proparco.fr,"Series A,Series B,Series C+",https://www.proparco.fr
QED Investors,qed-investors,vc,https://qedinvestors.com,"Seed,Series A,Series B",https://qedinvestors.com
Quona Capital,quona-capital,vc,https://quona.com,"Seed,Series A,Series B",https://quona.com
Rebright Partners,rebright-partners,vc,https://rebrightpartners.com,"Seed,Series A",https://rebrightpartners.com
Refex Capital,refex-capital,vc,https://refex.co.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Rockstud Capital,rockstud-capital,vc,https://rockstudcap.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Roots Ventures,roots-ventures,vc,https://roots-ventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Roving Partners,roving-partners,vc,https://rovingpartners.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Sangam Ventures,sangam-ventures,vc,https://www.sangam.vc,Seed,
SBI Caps Ventures / SBICAP Ventures,sbi-caps-ventures-sbicap-ventures,vc,https://www.sbicapventures.com,"Seed,Series A,Series B",https://www.sbicapventures.com
SBI Investment,sbi-investment,vc,https://www.sbinvestment.co.jp,"Seed,Series A,Series B",https://www.sbinvestment.co.jp
Seedcamp,seedcamp,vc,https://seedcamp.com,Pre-Seed,https://seedcamp.com
Seedfund,seedfund,vc,https://seedfund.com,Pre-Seed,https://seedfund.com
SIDBI Venture Capital,sidbi-venture-capital,vc,https://www.sidbiventure.co.in,"Seed,Series A",https://www.sidbiventure.co.in
Silver Needle,silver-needle,vc,https://silverneedle.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Sistema Asia Fund,sistema-asia-fund,vc,https://sistemaasiafund.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Small Ticket Funding,small-ticket-funding,vc,https://smallticketfunding.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
SoftBank Investment Advisers,softbank-investment-advisers,vc,https://group.softbank,"Series B,Series C+",https://group.softbank
SoftBank Ventures Asia,softbank-ventures-asia,vc,https://www.softbank.com,"Seed,Series A,Series B",https://visionfund.softbank
SOSV,sosv,vc,https://sosv.com,Pre-Seed,https://sosv.com
Startup-O,startup-o,vc,https://startup-o.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Steadview Capital,steadview-capital,vc,https://steadview.com,"Series B,Series C+",https://steadview.com
SucSEED Indovation,sucseed-indovation,vc,https://sucseed.biz,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Swishin Ventures,swishin-ventures,vc,https://swishin.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Systemiq Capital,systemiq-capital,vc,https://www.systemiq.earth,"Seed,Series A",https://www.systemiq.earth
Takshil Ventures,takshil-ventures,vc,https://takshil.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Tavasya Capital,tavasya-capital,vc,https://tavasyacapital.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Tenacity Ventures,tenacity-ventures,vc,https://tenacity.vc,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Thinkuvate,thinkuvate,vc,https://thinkuvate.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Thrive Capital,thrive-capital,vc,https://thrivecap.com,"Series A,Series B,Series C+",https://thrivecap.com
Tilt Capital,tilt-capital,vc,https://tiltcap.org,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
TransCon Capital,transcon-capital,vc,https://transconcapital.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Tryrock Capital,tryrock-capital,vc,https://tryrock.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
V-Cube Ventures,v-cube-ventures,vc,https://vcube.one,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Valar Ventures,valar-ventures,vc,https://www.valar.com,"Seed,Series A",https://www.valar.com
ValleyNXT Ventures,valleynxt-ventures,vc,https://valleynxtventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Varanium Capital Advisors,varanium-capital-advisors,vc,https://varanium.com,"Seed,Series A,Series B",https://varanium.com
Ventana Ventures,ventana-ventures,vc,https://ventanaventures.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Venture Gurukool,venture-gurukool,vc,https://venturegurukool.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Vertex Ventures,vertex-ventures,vc,https://www.vertexventures.com,"Seed,Pre-Series A,Series B",
W Health Ventures,w-health-ventures,vc,https://whealthventures.com,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Wavemaker Partners,wavemaker-partners,vc,https://wavemaker.vc,"Seed,Series A",https://wavemaker.vc
White Whale,white-whale,vc,https://whitewhale.in,"Seed,Series A",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Woodstock Fund,woodstock-fund,vc,https://woodstock.fund,"Seed,Series A",https://woodstock.fund
YZi Labs,yzi-labs,vc,https://www.binance.com,"Seed,Series A",https://www.binance.com
Zeropearl VC,zeropearl-vc,vc,https://zeropearl.vc,Pre-Seed,
Advent International,advent-international,pe,https://www.adventinternational.com,Series C+,https://www.adventinternational.com
Allvest,allvest,pe,https://allvest.co,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Apax Partners,apax-partners,pe,https://www.apax.com,Series C+,https://www.apax.com
Avatar Growth Capital,avatar-growth-capital,pe,https://avatargcp.com,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Bain Capital,bain-capital,pe,https://www.baincapital.com,Series C+,https://www.baincapital.com
Blackstone Growth,blackstone-growth,pe,https://www.blackstone.com,Series C+,https://www.blackstone.com
Carlyle Group,carlyle-group,pe,https://www.carlyle.com,Series C+,https://www.carlyle.com
Creador,creador,pe,https://www.creador.com,"Series B,Series C+",https://www.creador.com
Edelweiss Alternative Asset Advisors,edelweiss-alternative-asset-advisors,pe,https://www.edelweissfin.com,"Series C+,Debt",https://www.edelweissfin.com
Faering Capital,faering-capital,pe,https://faeringcapital.com,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
General Atlantic,general-atlantic,pe,https://www.generalatlantic.com,"Series B,Series C+",https://www.generalatlantic.com
GIC Private Limited,gic-private-limited,pe,https://www.gic.com.sg,Series C+,https://www.gic.com.sg
Hegd Investments,hegd-investments,pe,https://hegdinvst.com,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
ICICI Venture,icici-venture,pe,https://www.iciciventure.com,"Series B,Series C+",https://www.iciciventure.com
IIFL Seed Venture Fund / IIFL PE,iifl-seed-venture-fund-iifl-pe,pe,https://www.iifl.com,Series C+,https://www.iifl.com
JM Financial Private Equity,jm-financial-private-equity,pe,https://www.jmfl.com,Series C+,https://www.jmfl.com
KKR,kkr,pe,https://www.kkr.com,Series C+,https://www.kkr.com
Kotak Private Equity,kotak-private-equity,pe,https://www.kotak.com,Series C+,https://www.kotak.com
Lighthouse Canton,lighthouse-canton,pe,https://www.lighthouse-canton.com,Series C+,https://www.lighthouse-canton.com
Motilal Oswal Private Equity,motilal-oswal-private-equity,pe,https://www.motilaloswal.com,Series C+,https://www.motilaloswal.com
Paragon Partners,paragon-partners,pe,https://paragonpartners.in,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Piramal Alternatives,piramal-alternatives,pe,https://www.piramal.com,"Series C+,Debt",https://www.piramal.com
Revanta Capital,revanta-capital,pe,https://revantacapital.com,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Temasek,temasek,pe,https://www.temasek.com.sg,Series C+,https://www.temasek.com.sg
True North,true-north,pe,https://www.truenorth.co.in,"Series B,Series C+",https://www.truenorth.co.in
Vincere Partners,vincere-partners,pe,https://vincerepartners.in,"Series B,Series C+",https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
Warburg Pincus,warburg-pincus,pe,https://www.warburgpincus.com,Series C+,https://www.warburgpincus.com
Pratithi Investments,pratithi-investments,family-office,https://pratithi.com,Debt,
Reddy Ventures,reddy-ventures,family-office,https://www.reddy.co.in,Series C+,
Spectrum Impact,spectrum-impact,family-office,https://spectrum-impact.org,Seed,
Calcutta Angels Network,calcutta-angels-network,syndicate,https://calcuttaangels.com,Pre-Seed,https://calcuttaangels.com
Growth valley,growth-valley,syndicate,https://growthvalley.in,"Pre-Seed,Pre-Series A,Series B",
Hyderabad Angels,hyderabad-angels,syndicate,https://hyderabadangels.com,Pre-Seed,https://hyderabadangels.com
IAMAI Angel Network,iamai-angel-network,syndicate,https://www.iamai.in,Pre-Seed,https://www.iamai.in
JITO Angel Network,jito-angel-network,syndicate,https://www.jito.org,Pre-Seed,https://www.jito.org
Lead Angels,lead-angels,syndicate,https://leadangels.in,Pre-Seed,https://leadangels.in
LetsVenture,letsventure,syndicate,https://www.letsventure.com,Pre-Seed,https://www.letsventure.com
Mumbai Angels Network,mumbai-angels-network,syndicate,https://www.mumbaiangels.com,Pre-Seed,https://www.mumbaiangels.com
Nativelead Foundation / Nativelead Angels,nativelead-foundation-nativelead-angels,syndicate,https://nativelead.com,Pre-Seed,https://nativelead.com
TiE Bangalore Angels,tie-bangalore-angels,syndicate,https://bangalore.tie.org,Pre-Seed,https://bangalore.tie.org
TiE Chennai Angels,tie-chennai-angels,syndicate,https://chennai.tie.org,Pre-Seed,https://chennai.tie.org
TiE Delhi-NCR Angels,tie-delhi-ncr-angels,syndicate,https://delhi.tie.org,Pre-Seed,https://delhi.tie.org
TiE Hyderabad Angels,tie-hyderabad-angels,syndicate,https://hyderabad.tie.org,Pre-Seed,https://hyderabad.tie.org
TiE Mumbai Angels,tie-mumbai-angels,syndicate,https://mumbai.tie.org,Pre-Seed,https://mumbai.tie.org
888 VC,888-vc,accelerator,https://888vc.co,Pre-Seed,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16
a-IDEA NAARM,a-idea-naarm,accelerator,https://www.aidea.naarm.org.in,Pre-Seed,https://www.aidea.naarm.org.in
Acumen Academy India,acumen-academy-india,accelerator,https://acumenacademy.org,Pre-Seed,https://acumenacademy.org
Agri Udaan,agri-udaan,accelerator,https://www.agriudaan.com,Pre-Seed,https://www.agriudaan.com
Amrita TBI,amrita-tbi,accelerator,https://www.amrita.edu,Pre-Seed,https://www.amrita.edu
Antler,antler,accelerator,https://www.antler.co,Pre-Seed,https://www.antler.co
Ashoka University Entrepreneurship,ashoka-university-entrepreneurship,accelerator,https://www.ashoka.edu.in,Pre-Seed,https://www.ashoka.edu.in
AWS Activate India,aws-activate-india,accelerator,https://aws.amazon.com/startups,Pre-Seed,https://aws.amazon.com/startups
Bangalore Bioinnovation Centre Angels / BBC,bangalore-bioinnovation-centre-angels-bbc,accelerator,https://www.bioinnovationcentre.com,Pre-Seed,https://www.bioinnovationcentre.com
BIRAC,birac,accelerator,https://www.birac.nic.in,Pre-Seed,https://www.birac.nic.in
BITS Pilani TBI,bits-pilani-tbi,accelerator,https://www.bits-pilani.ac.in,Pre-Seed,https://www.bits-pilani.ac.in
Bosch Startup Harbor India,bosch-startup-harbor-india,accelerator,https://www.bosch.com,Pre-Seed,https://www.bosch.com
C-CAMP,c-camp,accelerator,https://www.ccamp.res.in,Pre-Seed,https://www.ccamp.res.in
Cashfree for Startups,cashfree-for-startups,accelerator,https://www.cashfree.com,Pre-Seed,https://www.cashfree.com
