Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source
Bulleon Ventures,VC,"Pre-Seed, Seed",Back ambitious founders building high-growth technology companies,"SaaS, FinTech, Consumer, B2B",$100k - $500k,https://bulleon.in,https://www.linkedin.com/company/bulleon-ventures/,India early-stage VC,,,"Bulleon Ventures is an India-focused early-stage venture capital firm that partners with founders at the very beginning of their journeys, typically at pre-seed and seed stages. The firm writes cheques in the range of $100,000 to $500,000, making it relevant for founders raising their first institutional capital or building conviction ahead of a larger seed round. Bulleon's sectoral focus spans SaaS, FinTech, Consumer, and B2B businesses, reflecting an interest in technology-driven models with strong unit economics potential and scalable distribution. The firm's stated orientation toward ambitious founders signals an appetite for bold market theses rather than incremental ideas. For Indian founders, Bulleon represents a domestically rooted investor that understands the nuances of building in India, including market timing, distribution challenges, and the path from early traction to Series A readiness. Founders approaching Bulleon should come prepared with a clear articulation of the problem, early evidence of product-market fit or strong founder-market fit, and a compelling view of how the business scales. Given the cheque size, Bulleon is often a lead or co-lead investor at pre-seed and can be a meaningful anchor for seed rounds.",Unverified – inferred,,
Mount Judi Ventures,VC,"Seed, Pre-Series A",Invest in founders solving India's large structural problems with technology,"SaaS, FinTech, Consumer, B2B, AI",$250k - $2M,https://mountjudi.com,https://www.linkedin.com/company/mount-judi-ventures/,India early-stage VC backed by experienced operators,,,"Mount Judi Ventures is an India-focused early-stage venture capital firm that partners with founders at the Seed and Pre-Series A stages. The firm is backed by experienced operators, meaning the team brings direct company-building context rather than purely financial perspectives, which can be valuable for first-time founders navigating early product, go-to-market, and hiring challenges. Mount Judi's core investment thesis centres on founders who are deploying technology to address India's large structural problems, spanning sectors such as SaaS, FinTech, Consumer, B2B, and AI. Their typical cheque size ranges from $250,000 to $2 million, making them a relevant conversation for founders raising their first meaningful institutional round. Founders approaching Mount Judi should come prepared with a clear articulation of the structural inefficiency they are solving, evidence of early traction or strong domain insight, and a credible path to scale within the Indian context. Given their operator-led DNA, the firm tends to engage substantively on execution strategy beyond just capital deployment. If your business sits at the intersection of technology and an underserved Indian market need, Mount Judi Ventures is worth a direct, thesis-aligned outreach.",Unverified – inferred,,
PointOne Capital,VC,"Pre-Seed, Seed, Pre-Series A",Invest in first movers and contrarian founders building scalable businesses,"SaaS, FinTech, Consumer, DeepTech, AI",$100k - $1M,https://pointone.capital,https://www.linkedin.com/company/pointonecapital/,India early-stage VC,,,"PointOne Capital is an early-stage venture capital firm focused on Indian startups at the pre-seed, seed, and pre-Series A stages. The firm operates with a clear conviction for backing founders who are either first movers in emerging categories or taking a contrarian approach to problems others have overlooked. Their sector interest spans SaaS, FinTech, Consumer, DeepTech, and AI, reflecting a broad but technology-forward mandate. Cheque sizes typically range from $100K to $1M, making them well-suited for founders raising their first or second institutional round. PointOne is especially relevant for founders who can articulate a strong directional insight and a credible path to scale, rather than incremental improvements on existing models. Given their thesis around scalable businesses and non-obvious bets, founders approaching PointOne should come prepared with a clear narrative around why now, why them, and why this market is larger than it appears. If you are building something that challenges the conventional wisdom in your space and are at an early stage in India, PointOne Capital is worth engaging early in your fundraising process.",Unverified – inferred,,
Vicus Ventures,VC,"Pre-Seed, Seed",Back exceptional founders at the intersection of technology and scale,"SaaS, FinTech, Consumer, B2B",$50k - $300k,https://vicusventures.com,https://www.linkedin.com/company/vicus-ventures/,India micro VC,,,"Vicus Ventures is an India-focused micro VC that partners with founders at the earliest and most formative stages of company building. Operating at Pre-Seed and Seed, the fund is designed for founders who need a conviction-driven early backer before they are ready for larger institutional capital. Their cheque sizes of $50k to $300k reflect a deliberate strategy to enter early and build meaningful relationships with founders from day one. Vicus is sector-aware across SaaS, FinTech, Consumer, and B2B, which covers a broad surface area of the Indian startup ecosystem and suggests the team is willing to back diverse business models as long as the founder quality and technology angle are compelling. Their stated thesis of backing exceptional founders at the intersection of technology and scale signals that team and execution potential weigh heavily in their investment decisions, often above market size alone. For Indian founders raising their first or second round, Vicus Ventures can be a practical first call, particularly if you are building a scalable, technology-led business and need a partner willing to engage before traction is fully established.",Unverified – inferred,,
Uncork Capital,VC,"Pre-Seed, Seed",Be the first institutional check for bold founders,"SaaS, Consumer, AI, Enterprise",$500k - $2M,https://uncorkcapital.com,https://www.linkedin.com/company/uncork-capital/,US-based pre-seed fund; some India exposure; formerly SoftTech VC,,,"Uncork Capital, formerly SoftTech VC, is one of the more established early-stage funds in the US focused on being the first institutional check into a company. They invest at pre-seed and seed stages across SaaS, consumer, AI, and enterprise software, typically writing cheques in the $500K to $2M range. For Indian founders, the most relevant path is through the diaspora angle or for those building software products targeting US or global enterprise and consumer markets. Uncork's model is to partner with founders very early, often before product-market fit is established, and support them through the critical zero-to-one phase. Their team brings deep operator and investor networks in Silicon Valley, which can be valuable for Indian founders seeking US market entry, customer introductions, or follow-on fundraising from tier-one US VCs. Founders who have a credible plan to build from India but sell globally, or who are relocating to the US, are better positioned to engage. Given their pre-seed conviction, a warm introduction through a mutual founder or investor in their portfolio will significantly improve the odds of a productive conversation.",Unverified – inferred,,
Character,VC,"Pre-Seed, Seed",Invest in founders with exceptional character building transformative companies,"SaaS, Consumer, Enterprise, AI",$500k - $2M,https://character.vc,https://www.linkedin.com/company/character-vc/,US-based early-stage fund,,,"Character is a US-based early-stage venture fund focused on pre-seed and seed investments across SaaS, Consumer, Enterprise, and AI. What sets Character apart is its founder-selection philosophy: the fund places significant weight on the integrity, resilience, and long-term orientation of the founders it backs, rather than relying solely on traction metrics or market size calculations at the earliest stages. Cheque sizes typically range from $500k to $2M, making it relevant for Indian founders raising their first institutional round, particularly those building global or US-market-facing products. For Indian founders, Character represents a meaningful opportunity if you are at the idea or early-traction stage and are targeting international expansion. The fund's thesis aligns well with second-time founders or deeply mission-driven first-time founders who can articulate a compelling vision and demonstrate strong personal conviction. Given its global mandate, Indian-origin founders based in the US or those with cross-border business models are especially well positioned to engage with this fund. Outreach is best done through warm introductions or by building a visible presence in communities Character is already engaged with.",Unverified – inferred,,
South Loop Ventures,VC,"Pre-Seed, Seed",Invest in diverse founders building technology companies,"SaaS, FinTech, Consumer, AI",$100k - $500k,https://southloop.vc,https://www.linkedin.com/company/south-loop-ventures/,US-based early-stage fund; DEI-focused,,,"South Loop Ventures is a US-based early-stage venture fund investing at the Pre-Seed and Seed stages in technology companies across SaaS, FinTech, Consumer, and AI. The fund is distinguished by its strong commitment to diversity, equity, and inclusion, actively seeking out and backing founders from underrepresented communities who are building scalable technology businesses. Typical cheque sizes range from $100,000 to $500,000, making the fund well-suited for founders raising their first institutional or early rounds. For Indian founders, South Loop Ventures is most relevant for those building for global markets or the US, particularly Indian-origin or diaspora entrepreneurs who fit the fund's DEI thesis. Founders approaching South Loop should be prepared to articulate not only their product and market opportunity but also how their diverse background or founding team informs their approach to the problem. The fund's sector focus across SaaS, FinTech, Consumer, and AI gives it a broad mandate, and founders with cross-border ambitions or India-to-global narratives may find a receptive audience here.",Unverified – inferred,,
A100x Ventures,VC,"Pre-Seed, Seed",Back founders aiming to build 100x companies,"SaaS, FinTech, Consumer, AI, DeepTech",$100k - $500k,https://a100x.vc,https://www.linkedin.com/company/a100x-ventures/,Early-stage fund,,,"A100x Ventures is an early-stage venture fund that writes cheques between $100k and $500k at the Pre-Seed and Seed stages. The fund's name reflects its core conviction: it backs founders who are explicitly targeting 100x outcomes, not modest, incremental businesses. The sectors of focus span SaaS, FinTech, Consumer, AI, and DeepTech, giving the fund a broad mandate across some of the most active verticals in the Indian startup ecosystem. For founders, A100x is worth approaching if you are building a product-led or technology-first business with a clear thesis on how it scales dramatically. The fund is likely to engage founders at the idea or early-traction stage, so a compelling narrative around the size of the opportunity and the team's unique insight matters as much as early metrics. Given the cheque size range, A100x typically participates in early rounds where it can add meaningful value beyond capital, including introductions, positioning advice, and follow-on support. Founders should come prepared with a sharp articulation of why their market can support an outsized outcome and why they are the right team to pursue it.",Unverified – inferred,,
Verb Ventures,VC,"Seed, Series A",Invest in European and global deep tech companies,"DeepTech, AI, SaaS, Enterprise",$1M - $5M,https://verb.ventures,https://www.linkedin.com/company/verb-ventures/,Europe-based deep tech VC,,,"Verb Ventures is a Europe-based venture capital firm focused on early-stage deep tech opportunities, writing cheques in the range of $1M to $5M at Seed and Series A stages. The firm invests across AI, enterprise SaaS, and broader deep tech categories, prioritising companies where the founding team has genuine technical differentiation and a credible path to global markets. While the firm has historically concentrated on European startups, its thesis extends to global deep tech ventures, which opens a potential door for exceptional Indian founders building in AI infrastructure, applied ML, or enterprise software with cross-border relevance. For Indian startups, the strongest fit would be teams with a technology-first approach, early enterprise customers, and a clear narrative around why their core IP is difficult to replicate. Founders approaching Verb Ventures should be prepared to lead with their technical architecture and research credentials rather than growth metrics alone. Given the firm's European base, having a go-to-market angle that includes Europe or a globally scalable product will meaningfully strengthen the pitch. Warm introductions through the European deep tech or academic research ecosystem are likely to resonate well with this team.",Unverified – inferred,,
Sierra Ventures,VC,"Seed, Series A",Invest in B2B technology companies with global markets,"SaaS, Enterprise, AI, B2B, Cybersecurity",$1M - $10M,https://sierraventures.com,https://www.linkedin.com/company/sierra-ventures/,US-based B2B tech VC; active in India-US cross-border,,,"Sierra Ventures is a US-based venture capital firm with a long-standing focus on B2B technology, investing across SaaS, enterprise software, AI, and cybersecurity at Seed and Series A stages with cheque sizes typically ranging from $1M to $10M. The firm is a strong fit for Indian founders pursuing a global, US-first or US-expansion strategy, particularly those building products with enterprise and mid-market appeal in North America. Sierra has historically been active in the India-US cross-border ecosystem, which means they understand the operational realities of distributed founding teams, offshore engineering, and selling into US enterprises from an India base. Founders pitching Sierra should come prepared with a clear articulation of their US go-to-market strategy, early enterprise traction or strong pipeline, and a differentiated product angle in AI, security, or enterprise workflow automation. Their portfolio orientation suggests they value founders who think in terms of global TAM from day one rather than scaling domestically first. For Indian B2B SaaS founders with US ambitions, Sierra Ventures represents one of the more accessible and contextually aware US institutional options.",Unverified – inferred,,
Airavat Capital,VC,"Seed, Pre-Series A",Back founders building technology companies with global potential from India,"SaaS, FinTech, Consumer, B2B, AI",$250k - $2M,https://airavatcap.com,https://www.linkedin.com/company/airavat-capital/,India early-stage VC,,,"Airavat Capital is an early-stage venture capital firm investing in Indian technology startups with the ambition and architecture to scale globally. The firm writes cheques in the $250k to $2M range, making it relevant for founders raising Seed or Pre-Series A rounds who need a partner capable of leading or co-leading at that ticket size. Their sector focus spans SaaS, FinTech, Consumer, B2B, and AI, reflecting a broad appetite for technology-driven business models rather than a narrow vertical mandate. For founders, this means Airavat is evaluating whether the underlying technology and go-to-market can travel beyond India, even if the initial traction is domestic. The firm's positioning in the early-stage India ecosystem suggests they are comfortable with pre-revenue or early-revenue companies where the founding team and product vision carry the most weight. Founders approaching Airavat should be prepared to articulate a credible path to global relevance, demonstrate product differentiation, and show why their technology creates durable competitive advantages. Warm introductions through the Indian startup ecosystem are likely the most effective way to get in front of the team.",Unverified – inferred,,
Venturi Partners,VC,"Series A, Series B",Invest in purpose-driven companies creating positive impact in India,"Consumer, D2C, FinTech, HealthTech, SaaS",$2M - $20M,https://venturi.partners,https://www.linkedin.com/company/venturi-partners/,Formerly known as Venturi; Singapore-headquartered growth fund,,,"Venturi Partners is a Singapore-headquartered growth-stage fund with a strong India focus, investing at Series A and Series B across consumer, D2C, FinTech, HealthTech, and SaaS. The fund is particularly drawn to purpose-driven founders building companies where commercial growth and positive societal impact reinforce each other rather than compete. Cheque sizes typically range from $2M to $20M, making them a meaningful lead or co-lead partner for companies looking to scale beyond early traction. Venturi tends to engage with businesses that have demonstrated product-market fit and are ready to invest in distribution, brand, or operational infrastructure to reach the next growth inflection. Founders can expect a hands-on partner that brings cross-border perspective given its Singapore base, which can be especially useful for companies exploring Southeast Asian expansion or seeking access to global institutional networks. The team values alignment on mission and long-term vision, so founders pitching Venturi should articulate not just unit economics and growth metrics, but the broader problem they are solving and why their approach creates lasting value for end consumers or businesses in India.",Unverified – inferred,,
Athena,VC,"Seed, Pre-Series A",Invest in data-driven founders building tech companies,"SaaS, FinTech, AI, B2B, Consumer",$250k - $2M,https://athena.vc,https://www.linkedin.com/company/athena-vc/,Data-driven early-stage VC,,,"Athena is an early-stage venture capital firm that partners with data-driven founders building technology companies across SaaS, FinTech, AI, B2B, and Consumer verticals. The firm writes cheques ranging from $250k to $2M, making it relevant for Indian startups raising Seed or Pre-Series A rounds. Athena's core conviction sits with founders who use data as a strategic advantage, whether in product architecture, go-to-market decision-making, or unit economics visibility. For Indian founders, Athena is worth approaching if you are building a product-led or metrics-heavy business with early traction that demonstrates repeatability. The firm's positioning suggests a preference for founders who can speak fluently about retention, cohort behaviour, and scalable acquisition, rather than just market size narratives. Given the cheque range, Athena is typically not the sole institutional lead on larger rounds but can serve as a strong early anchor or co-investor. Founders should come prepared with a clear data story around their core metrics and a crisp articulation of why their category demands a technology-first approach. Warm introductions through shared portfolio networks or accelerators are likely the most effective way to engage.",Unverified – inferred,,
Capital-A,VC,"Pre-Seed, Seed, Pre-Series A",Back ambitious founders building scalable businesses in India,"SaaS, FinTech, Consumer, B2B, AI",$100k - $1M,https://capital-a.in,https://www.linkedin.com/company/capaindia/,India early-stage VC; also known as Manjushree Capital,,,"Capital-A is an India-focused early-stage venture capital firm that writes cheques ranging from $100,000 to $1 million into Pre-Seed, Seed, and Pre-Series A rounds. Also known as Manjushree Capital, the firm targets founders building scalable businesses across SaaS, FinTech, Consumer, B2B, and AI verticals. Given its stage focus, Capital-A is typically one of the first institutional checks a founding team will receive, which means founders can expect a hands-on partner who is comfortable with the ambiguity and risk of early company building. The firm's sector breadth across both enterprise and consumer-facing businesses suggests openness to varied business models, provided there is a credible path to scale within the Indian market. Founders approaching Capital-A should come prepared with a clear articulation of their problem, an early signal of product-market fit or strong founder-market conviction, and a compelling story of why their business can grow significantly in the Indian context. The relatively compact cheque range makes Capital-A a practical lead or co-investor for pre-institutional rounds where capital efficiency and the right early partner matter more than headline fund size.",Unverified – inferred,,
SanchiConnect,VC / Platform,"Pre-Seed, Seed",Connect founders with impact-aligned capital and mentors,"Social Impact, HealthTech, CleanTech, Education",$50k - $300k,https://sanchiconnect.com,https://www.linkedin.com/company/sanchi-connect/,Impact-focused investment platform,,,"SanchiConnect is an impact-focused investment platform designed to support early-stage founders building solutions across Social Impact, HealthTech, CleanTech, and Education. Operating at the Pre-Seed and Seed stages, the platform deploys cheques ranging from $50,000 to $300,000, making it accessible to founders who are in the early phases of validating their model or scaling their initial traction. What differentiates SanchiConnect from a conventional VC is its platform approach: beyond capital, it actively connects founders with a curated ecosystem of impact-aligned investors, domain mentors, and strategic advisors who understand the unique challenges of building for underserved markets in India. Founders tackling problems in rural health access, affordable education, clean energy adoption, or grassroots livelihood improvement are likely to find resonance here. The team looks for founders with a clear theory of change alongside commercial viability, recognising that sustainable impact and business fundamentals are not mutually exclusive. If your startup sits at the intersection of measurable social or environmental outcomes and scalable business models, SanchiConnect is worth engaging with early in your fundraising journey.",Unverified – inferred,,
Ankur Capital Fund,VC / Impact,"Seed, Pre-Series A, Series A","Invest in businesses solving fundamental needs in India - food, health, energy and education","AgriTech, HealthTech, CleanTech, EdTech, FinTech",$500k - $4M,https://www.ankurcapital.com,https://www.linkedin.com/company/ankur-capital/,"Impact fund focused on India's underserved; backed Claro, MicroSave",,,"Ankur Capital is an impact-oriented early-stage venture fund investing across India's most critical sectors — agriculture, healthcare, clean energy, education, and financial inclusion. The fund targets startups building for Bharat, meaning businesses that serve low-income and rural populations who are largely excluded from mainstream markets. Their investment sweet spot sits at Seed through Series A, with cheque sizes typically ranging from $500k to $4 million, making them a meaningful early partner for founders who need more than just capital. What distinguishes Ankur is their conviction that commercial returns and social impact are complementary, not competing. They bring patient capital and operational support suited to the longer build cycles often seen in agri or health ventures operating in tier-2 and tier-3 geographies. Founders pitching Ankur should come prepared with a clear articulation of who exactly they are serving at the bottom of the pyramid, how the unit economics work at scale in low-ARPU contexts, and what measurable impact their product generates. Startups with strong field presence, deep distribution insight, or technology that genuinely reduces friction for underserved users tend to resonate well with their team.",Unverified – inferred,,
Aavishkaar Capital,Impact VC,"Seed, Series A, Series B",Pioneer impact investing in India's most underserved communities,"AgriTech, FinTech, CleanTech, HealthTech, Social Impact",$500k - $10M,https://aavishkaar.in,https://www.linkedin.com/company/aavishkaar/,India's pioneer impact fund; 25+ years of impact investing,,,"Aavishkaar Capital is widely regarded as the founding institution of impact investing in India, having built its track record over more than two decades of backing enterprises that serve low-income and rural populations. The firm invests across Seed through Series B stages, writing cheques typically ranging from five hundred thousand to ten million dollars, and focuses on sectors where market-driven solutions can generate both financial returns and measurable social outcomes. Core areas of interest include agricultural value chains, rural fintech and microfinance, clean energy access, affordable healthcare, and livelihoods. Aavishkaar's diligence process evaluates both business fundamentals and impact metrics, so founders should be prepared to articulate a clear theory of change alongside their unit economics. The team brings deep on-ground knowledge of rural India and is particularly valuable for startups navigating last-mile distribution, government partnerships, or blended finance structures. Aavishkaar is a credible signal to global impact LPs and development finance institutions, making it a strong anchor investor for founders building in underserved markets. Founders who are mission-driven, commercially disciplined, and targeting Bharat rather than urban India will find the strongest alignment here.",Unverified – inferred,,
SenseAI Ventures,VC,"Pre-Seed, Seed",Invest in AI-first startups building for global markets from India,"AI, SaaS, DeepTech, Enterprise",$250k - $2M,https://senseai.ai,https://www.linkedin.com/company/senseai-ventures/,AI-focused early-stage VC,,,"SenseAI Ventures is an early-stage venture capital firm with a sharp, thesis-driven focus on AI-first startups originating from India but designed to compete in global markets. The firm writes cheques between $250K and $2M at the pre-seed and seed stages, making it relevant for founders who are either validating their core AI technology or beginning early commercial traction. Their sectoral focus spans AI, SaaS, DeepTech, and Enterprise software, which means they are well-suited for founders building foundational models, AI-enabled vertical SaaS, or proprietary data infrastructure rather than surface-level AI wrappers. Given their concentrated mandate, SenseAI Ventures is likely to engage meaningfully with technical founders who can articulate a defensible AI architecture and a credible path to global distribution. Founders approaching them should be prepared to discuss not just product-market fit within India but how their technology travels across geographies and enterprise buyers. Their positioning in the Indian ecosystem suggests they understand the cost arbitrage and talent density advantages Indian AI startups hold, and they likely bring relevant introductions within the global enterprise and deep-tech investor community.",Unverified – inferred,,
Veltis Capital,"VC (founder/operator-led, early-stage)","Pre-Seed, Seed (some early growth)","Founder-operator-led VC that makes few bets and stays deeply engaged; fast, decisive process with direct MP access; supports strategy, channel/client access and follow-on fundraise.","Consumer Brands, Consumer Tech, DeepTech, FinTech",~$100K–$500K (co-led INR 40 Cr Series A in MyDesignation),https://veltiscapital.com,https://www.linkedin.com/company/veltis-capital/,"Founded 2023, Mumbai/Chennai, by Srinivasa Gopalan (CaratLane co-founder) & Gokul Gopal (ex-BCG/Mahindra). ~16–48 investments. Portfolio: SuperK, Zippee, NOOE, Aretto, Troovy, MyDesignation.",,,"Veltis Capital is an early-stage, founder-operator-led venture firm founded in 2023 and based across Mumbai and Chennai. It was started by Srinivasa Gopalan — co-founder of jewellery unicorn CaratLane — together with Gokul Gopal, who brings over a decade of strategy and business-building experience from Boston Consulting Group and the Mahindra Group. The fund invests primarily at pre-seed and seed, with selective participation in early growth rounds, and concentrates on consumer-first opportunities — consumer brands, consumer technology and enablers — alongside a selective deep-tech focus and some fintech. Veltis deliberately makes few bets and stays deeply engaged, offering founders direct access to its managing partners from the first interaction, fast and decisive decision-making, and hands-on support across strategy, channel and client access, hiring, branding, distribution and subsequent fundraising. Typical cheques run roughly $100K to $500K, though the firm has shown the ability to anchor larger rounds — it co-led an INR 40 crore (about $4.8 million) Series A in apparel brand MyDesignation. Its portfolio of roughly 16 to 48 companies includes SuperK (membership value retail for small-town India), Zippee (quick-commerce logistics), NOOE, Aretto and Troovy. Founders consistently cite the team's speed, founder empathy and operator-level guidance as Veltis's defining strengths.","Verified (web sources, 2025–26)",,
Multiple Ventures,VC,"Pre-Seed, Seed",Invest in founders building multiple category-defining businesses,"SaaS, Consumer, FinTech, D2C",$100k - $500k,https://multiplyventures.com,https://www.linkedin.com/company/multiplyventures/,India early-stage VC,,,"Multiply Ventures is an early-stage venture capital firm focused on the Indian startup ecosystem, writing cheques between $100,000 and $500,000 at Pre-Seed and Seed stages. The firm backs founders across SaaS, Consumer, FinTech, and D2C verticals, with a particular interest in operators and builders who demonstrate the conviction and capability to create category-defining companies. The thesis is deliberately founder-first: Multiply Ventures believes the best founders are those capable of building multiple significant businesses across their careers, and the firm positions itself as a long-term partner from the earliest stages of company formation. For founders approaching Multiply Ventures, it helps to demonstrate strong market insight, early traction or clear go-to-market thinking, and a credible articulation of why your category is ripe for disruption in the Indian context. Given their lean cheque size range, they are well-suited for rounds where founders are looking for smart, engaged capital alongside a lead investor or as part of a syndicated pre-seed round. Reach out via their website or LinkedIn with a concise deck and a clear founder story.",Unverified – inferred,,
Golden Sparrow,VC / Syndicate,"Pre-Seed, Seed",Back founders with differentiated products and strong execution,"SaaS, Consumer, FinTech, D2C",$50k - $300k,https://goldensparrow.vc,https://www.linkedin.com/company/golden-sparrow-ventures/,India early-stage micro fund,,,"Golden Sparrow is an India-focused early-stage micro fund and syndicate that backs Pre-Seed and Seed founders across SaaS, Consumer, FinTech, and D2C. With cheque sizes ranging from $50k to $300k, it is well-suited for founders who are raising their first institutional capital or bridging toward a larger Seed round. The fund looks for founders who have built something meaningfully differentiated, whether through product innovation, a unique distribution insight, or a defensible go-to-market approach, rather than backing ideas that simply follow existing market playbooks. Execution quality is a central part of their evaluation lens, so founders who can demonstrate early traction, a clear understanding of their customer, and a credible path to scale are likely to resonate well. As a syndicate structure, Golden Sparrow can also bring in co-investors alongside its own capital, which can be valuable for founders looking to build a strong cap table early. Founders in the four core sectors who are based in India or building for Indian or emerging market consumers would be a natural fit to approach this fund.",Unverified – inferred,,
Ideaspring Capital,VC,"Seed, Pre-Series A",Back product-led startups with deep IP and global potential,"SaaS, DeepTech, Enterprise, AI, IoT",$250k - $2M,https://ideaspringcapital.com,https://www.linkedin.com/company/ideaspring-capital/,"Bangalore-based product-led B2B VC; backed CloudSEK, Juspay",,,"Ideaspring Capital is a Bangalore-based venture capital firm purpose-built for Indian product startups targeting global markets. The firm invests at Seed and Pre-Series A stages, writing cheques in the range of $250,000 to $2 million, making it well-suited for founders who have early product-market signal and are ready to scale their go-to-market or deepen their technology stack. Ideaspring's thesis is firmly centered on product-led companies in SaaS, DeepTech, AI, IoT, and Enterprise software, with a clear preference for businesses where proprietary IP creates lasting competitive advantage. The team brings operational and entrepreneurial depth, which founders often cite as a differentiator beyond just capital. Portfolio companies like CloudSEK and Juspay reflect the firm's appetite for technically ambitious, category-defining bets with genuine international reach. Founders building in B2B spaces where the product itself drives distribution and retention will find Ideaspring's philosophy closely aligned. If you are a founding team with a strong engineering core, early enterprise traction, and a credible path to global customers, Ideaspring Capital is worth a direct conversation at the earliest stages of your fundraise.",Unverified – inferred,,
AJVC,VC,"Pre-Seed, Seed",Be the first check and most helpful partner for India's best founders,"SaaS, Consumer, FinTech, AI, B2B",$100k - $500k,https://ajvc.in,https://www.linkedin.com/company/ajvc/,India early-stage VC by Aviral Bhatnagar; founder-first approach,,,"AJVC is an early-stage venture fund led by Aviral Bhatnagar, focused on being the first institutional cheque for India's most ambitious founders. The fund operates at Pre-Seed and Seed stages, with cheque sizes ranging from $100k to $500k, making it a natural fit for founders who are raising their very first round or looking to formalize early traction into institutional capital. AJVC invests across SaaS, Consumer, FinTech, AI, and B2B sectors, reflecting a broad but considered view of where durable Indian companies are being built. What sets AJVC apart in the crowded early-stage landscape is Aviral's reputation for being genuinely accessible and helpful to founders beyond just capital. The fund's philosophy centers on building long-term trust with founders from day one, offering practical support on product thinking, hiring, and subsequent fundraising. For founders who are pre-revenue or at early traction and want an investor who will engage deeply rather than passively, AJVC is worth a direct conversation. Founders who have a clear thesis on why their category matters in India and can articulate early signals of founder-market fit are likely to resonate well with the team.",Unverified – inferred,,
Java Capital,VC,"Pre-Seed, Seed",Invest in passionate founders building scalable technology businesses,"SaaS, Consumer, FinTech, D2C",₹6 Crore – ₹8 Crore,https://javacapital.co,https://www.linkedin.com/company/javacapital/,"India early-stage VC; backed Fello, Jar, SuperK Ticket researched: Fund III initial cheques ₹6–8 Cr (YourStory Feb 2026); prior micro-VC range was ~$100k–$500k.",,,"Java Capital is an early-stage venture capital firm focused on India, backing founders at the pre-seed and seed stages across SaaS, Consumer, FinTech, and D2C sectors. The firm writes cheques in the $100k to $500k range, making it a relevant first institutional or co-investment partner for founders who are just beginning to scale. Java Capital's portfolio reflects a strong eye for consumer and fintech businesses with wide reach, as evidenced by investments in Jar, Fello, and SuperK, companies that have gone on to build meaningful user bases in India's growing digital economy. The team brings hands-on engagement to early-stage companies, which is particularly valuable for founders navigating product-market fit and early distribution challenges. Java Capital's thesis centers on founder conviction and the ability to build scalable technology businesses, meaning they are likely to respond well to founders who can clearly articulate why they are the right team for the problem and how the business can grow efficiently over time. Founders pitching to Java Capital should be prepared to speak to market size, technology differentiation, and early traction signals. Given their stage focus, a strong team narrative and a compelling vision for scale will carry significant weight in their evaluation process.",Unverified – inferred,,
Speciale Invest,VC,"Pre-Seed, Seed, Pre-Series A",Invest in deep-tech and frontier technology companies from India,"DeepTech, SpaceTech, Defence, AI, Semiconductors",$250k - $3M,https://specialeinvest.com,https://www.linkedin.com/company/specialeinvest/,"India's leading deep-tech VC; backed Agnikul, Pixxel, Bellatrix",,,"Speciale Invest is widely regarded as one of India's most committed early-stage investors in deep-tech and frontier technology. The firm writes cheques ranging from roughly $250,000 to $3 million, typically engaging at pre-seed, seed, or pre-Series A stages, making it one of the few Indian VCs willing to back founders before a product is commercially validated. Its portfolio reads like a who's who of India's new-age deep-tech wave, with marquee names including Agnikul Cosmos, Pixxel, and Bellatrix Aerospace, which together reflect a clear conviction in sectors like space, defence, semiconductors, and artificial intelligence. Founders approaching Speciale should expect a technically literate team that can engage meaningfully on engineering architecture and R&D timelines, not just business metrics. The firm is particularly suited for founders building hardware-heavy or IP-driven businesses that require patient capital and a partner who understands the long gestation periods inherent to frontier technology. If your startup sits at the intersection of deep science and large national or global markets, Speciale Invest deserves to be a top-of-funnel target.",Unverified – inferred,,
Fireside Ventures,VC,"Seed, Pre-Series A, Series A",Partner with founder-led consumer brands building India's next iconic companies,"Consumer, D2C, Brands, FMCG, HealthTech",$500k - $5M,https://firesideventures.in,https://www.linkedin.com/company/firesideventures/,"India's leading D2C/consumer brand fund; backed Mamaearth, Boat, MCaffeine",,,"Fireside Ventures is one of India's most prominent early-stage funds dedicated exclusively to consumer brands. The fund focuses on founder-led businesses operating in D2C, FMCG, personal care, food and beverage, and consumer health, with a clear thesis around backing brands that can build deep consumer affinity and scale through both online and offline channels. Fireside is particularly well-suited for founders who have demonstrated early product-market fit and are looking for a partner who understands the nuances of building a consumer brand in India, from storytelling and community to supply chain and retail distribution. The team brings hands-on operational experience and a strong network across retail, marketing, and manufacturing ecosystems. Portfolio companies have benefited from Fireside's active involvement in brand positioning, hiring, and go-to-market strategy beyond just capital. If you are building a consumer brand targeting the aspirational Indian consumer, Fireside should be a priority conversation. They typically engage at Seed through Series A stages with cheque sizes ranging from approximately $500k to $5 million, and prefer founders who combine authentic brand vision with execution clarity.",Unverified – inferred,,
